item_id,item_numeric_id,subset,language,raw_margin,cbc_margin,raw_correct,cbc_correct
alpacaeval-easy::122,122,alpacaeval-easy,arb_Arab,1.8,1.8,1.0,1.0
alpacaeval-easy::621,621,alpacaeval-easy,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-easy::647,647,alpacaeval-easy,arb_Arab,1.8,1.8,1.0,1.0
alpacaeval-easy::60,60,alpacaeval-easy,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-easy::761,761,alpacaeval-easy,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-easy::17,17,alpacaeval-easy,arb_Arab,0.4,0.39999999999999997,1.0,1.0
alpacaeval-easy::753,753,alpacaeval-easy,arb_Arab,-0.2,-0.2,0.0,0.0
alpacaeval-easy::304,304,alpacaeval-easy,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-easy::293,293,alpacaeval-easy,arb_Arab,-1.0,-1.0,0.0,0.0
alpacaeval-easy::296,296,alpacaeval-easy,arb_Arab,3.2,3.2,1.0,1.0
alpacaeval-easy::786,786,alpacaeval-easy,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-easy::387,387,alpacaeval-easy,arb_Arab,-0.6,-0.6,0.0,0.0
alpacaeval-easy::392,392,alpacaeval-easy,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-easy::39,39,alpacaeval-easy,arb_Arab,-0.2,-0.2,0.0,0.0
alpacaeval-easy::583,583,alpacaeval-easy,arb_Arab,2.0,2.0,1.0,1.0
alpacaeval-easy::74,74,alpacaeval-easy,arb_Arab,-0.2,-0.2,0.0,0.0
alpacaeval-easy::788,788,alpacaeval-easy,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-easy::800,800,alpacaeval-easy,arb_Arab,0.2,0.19999999999999996,1.0,1.0
alpacaeval-easy::665,665,alpacaeval-easy,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-easy::47,47,alpacaeval-easy,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-easy::320,320,alpacaeval-easy,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-easy::84,84,alpacaeval-easy,arb_Arab,0.8,0.8,1.0,1.0
alpacaeval-easy::89,89,alpacaeval-easy,arb_Arab,0.4,0.39999999999999997,1.0,1.0
alpacaeval-easy::350,350,alpacaeval-easy,arb_Arab,0.4,0.4,1.0,1.0
alpacaeval-easy::656,656,alpacaeval-easy,arb_Arab,2.2,2.2,1.0,1.0
alpacaeval-easy::105,105,alpacaeval-easy,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-easy::213,213,alpacaeval-easy,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-easy::180,180,alpacaeval-easy,arb_Arab,2.4,2.4,1.0,1.0
alpacaeval-easy::422,422,alpacaeval-easy,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-easy::475,475,alpacaeval-easy,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-easy::619,619,alpacaeval-easy,arb_Arab,0.0,-2.2204460492503132e-17,0.0,0.0
alpacaeval-easy::173,173,alpacaeval-easy,arb_Arab,0.2,0.19999999999999996,1.0,1.0
alpacaeval-easy::81,81,alpacaeval-easy,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-easy::588,588,alpacaeval-easy,arb_Arab,0.4,0.39999999999999997,1.0,1.0
alpacaeval-easy::534,534,alpacaeval-easy,arb_Arab,-0.6,-0.6,0.0,0.0
alpacaeval-easy::434,434,alpacaeval-easy,arb_Arab,1.6,1.6,1.0,1.0
alpacaeval-easy::258,258,alpacaeval-easy,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-easy::538,538,alpacaeval-easy,arb_Arab,-0.2,-0.20000000000000004,0.0,0.0
alpacaeval-easy::384,384,alpacaeval-easy,arb_Arab,0.8,0.8,1.0,1.0
alpacaeval-easy::150,150,alpacaeval-easy,arb_Arab,3.0,3.0,1.0,1.0
alpacaeval-easy::716,716,alpacaeval-easy,arb_Arab,3.2,3.2,1.0,1.0
alpacaeval-easy::782,782,alpacaeval-easy,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-easy::272,272,alpacaeval-easy,arb_Arab,2.2,2.2,1.0,1.0
alpacaeval-easy::492,492,alpacaeval-easy,arb_Arab,0.0,-2.2204460492503132e-17,0.0,0.0
alpacaeval-easy::738,738,alpacaeval-easy,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-easy::127,127,alpacaeval-easy,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-easy::294,294,alpacaeval-easy,arb_Arab,1.8,1.8,1.0,1.0
alpacaeval-easy::407,407,alpacaeval-easy,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-easy::717,717,alpacaeval-easy,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-easy::98,98,alpacaeval-easy,arb_Arab,-0.2,-0.2,0.0,0.0
alpacaeval-easy::210,210,alpacaeval-easy,arb_Arab,0.0,-2.2204460492503132e-17,0.0,0.0
alpacaeval-easy::252,252,alpacaeval-easy,arb_Arab,-0.8,-0.8,0.0,0.0
alpacaeval-easy::440,440,alpacaeval-easy,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-easy::318,318,alpacaeval-easy,arb_Arab,1.6,1.5999999999999999,1.0,1.0
alpacaeval-hard::1286,1286,alpacaeval-hard,arb_Arab,0.4,0.4,1.0,1.0
alpacaeval-hard::955,955,alpacaeval-hard,arb_Arab,2.2,2.2,1.0,1.0
alpacaeval-hard::985,985,alpacaeval-hard,arb_Arab,1.6,1.5999999999999999,1.0,1.0
alpacaeval-hard::1100,1100,alpacaeval-hard,arb_Arab,-0.2,-0.20000000000000012,0.0,0.0
alpacaeval-hard::827,827,alpacaeval-hard,arb_Arab,0.4,0.4,1.0,1.0
alpacaeval-hard::1076,1076,alpacaeval-hard,arb_Arab,0.8,0.8,1.0,1.0
alpacaeval-hard::888,888,alpacaeval-hard,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-hard::871,871,alpacaeval-hard,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-hard::963,963,alpacaeval-hard,arb_Arab,2.0,2.0,1.0,1.0
alpacaeval-hard::939,939,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::882,882,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::953,953,alpacaeval-hard,arb_Arab,0.8,0.8,1.0,1.0
alpacaeval-hard::1419,1419,alpacaeval-hard,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-hard::1268,1268,alpacaeval-hard,arb_Arab,0.2,0.19999999999999996,1.0,1.0
alpacaeval-hard::1404,1404,alpacaeval-hard,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-hard::1162,1162,alpacaeval-hard,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-hard::1362,1362,alpacaeval-hard,arb_Arab,-0.2,-0.20000000000000004,0.0,0.0
alpacaeval-hard::1322,1322,alpacaeval-hard,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-hard::934,934,alpacaeval-hard,arb_Arab,0.4,0.39999999999999997,1.0,1.0
alpacaeval-hard::1127,1127,alpacaeval-hard,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-hard::837,837,alpacaeval-hard,arb_Arab,0.2,0.19999999999999996,1.0,1.0
alpacaeval-hard::1423,1423,alpacaeval-hard,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-hard::1194,1194,alpacaeval-hard,arb_Arab,-0.4,-0.4,0.0,0.0
alpacaeval-hard::1121,1121,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::1159,1159,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::1445,1445,alpacaeval-hard,arb_Arab,2.2,2.2,1.0,1.0
alpacaeval-hard::1143,1143,alpacaeval-hard,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-hard::1315,1315,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::1365,1365,alpacaeval-hard,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-hard::1296,1296,alpacaeval-hard,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-hard::1369,1369,alpacaeval-hard,arb_Arab,0.4,0.39999999999999986,1.0,1.0
alpacaeval-hard::937,937,alpacaeval-hard,arb_Arab,1.2,1.2,1.0,1.0
alpacaeval-hard::815,815,alpacaeval-hard,arb_Arab,0.8,0.8,1.0,1.0
alpacaeval-hard::1177,1177,alpacaeval-hard,arb_Arab,0.2,0.19999999999999998,1.0,1.0
alpacaeval-hard::1227,1227,alpacaeval-hard,arb_Arab,1.6,1.6,1.0,1.0
alpacaeval-hard::889,889,alpacaeval-hard,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-hard::1140,1140,alpacaeval-hard,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-hard::1133,1133,alpacaeval-hard,arb_Arab,-0.2,-0.20000000000000004,0.0,0.0
alpacaeval-hard::809,809,alpacaeval-hard,arb_Arab,0.4,0.4,1.0,1.0
alpacaeval-hard::1479,1479,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::1497,1497,alpacaeval-hard,arb_Arab,1.4,1.4,1.0,1.0
alpacaeval-hard::1397,1397,alpacaeval-hard,arb_Arab,0.6,0.6,1.0,1.0
alpacaeval-hard::1012,1012,alpacaeval-hard,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-hard::1126,1126,alpacaeval-hard,arb_Arab,2.0,2.0,1.0,1.0
alpacaeval-hard::1070,1070,alpacaeval-hard,arb_Arab,1.0,1.0,1.0,1.0
alpacaeval-hard::1015,1015,alpacaeval-hard,arb_Arab,0.0,-4.4408920985006264e-17,0.0,0.0
alpacaeval-easy::7,7,alpacaeval-easy,eng_Latn,0.4,0.4,1.0,1.0
alpacaeval-easy::175,175,alpacaeval-easy,eng_Latn,2.8,2.8,1.0,1.0
alpacaeval-easy::711,711,alpacaeval-easy,eng_Latn,1.4,1.4000000000000001,1.0,1.0
alpacaeval-easy::699,699,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::730,730,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-easy::215,215,alpacaeval-easy,eng_Latn,1.0,1.0,1.0,1.0
alpacaeval-easy::173,173,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::510,510,alpacaeval-easy,eng_Latn,0.0,3.3306690738754695e-17,0.0,1.0
alpacaeval-easy::199,199,alpacaeval-easy,eng_Latn,0.0,3.3306690738754695e-17,0.0,1.0
alpacaeval-easy::449,449,alpacaeval-easy,eng_Latn,0.8,0.8,1.0,1.0
alpacaeval-easy::804,804,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::0,0,alpacaeval-easy,eng_Latn,1.0,1.0,1.0,1.0
alpacaeval-easy::43,43,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::231,231,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-easy::557,557,alpacaeval-easy,eng_Latn,0.4,0.4,1.0,1.0
alpacaeval-easy::745,745,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-easy::75,75,alpacaeval-easy,eng_Latn,0.4,0.4,1.0,1.0
alpacaeval-easy::372,372,alpacaeval-easy,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-easy::245,245,alpacaeval-easy,eng_Latn,1.2,1.2,1.0,1.0
alpacaeval-easy::551,551,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::572,572,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::474,474,alpacaeval-easy,eng_Latn,2.2,2.2,1.0,1.0
alpacaeval-easy::236,236,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::790,790,alpacaeval-easy,eng_Latn,4.0,4.0,1.0,1.0
alpacaeval-easy::192,192,alpacaeval-easy,eng_Latn,1.2,1.2,1.0,1.0
alpacaeval-easy::17,17,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::772,772,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::633,633,alpacaeval-easy,eng_Latn,0.0,3.3306690738754695e-17,0.0,1.0
alpacaeval-easy::658,658,alpacaeval-easy,eng_Latn,0.0,6.661338147750939e-17,0.0,1.0
alpacaeval-easy::298,298,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::251,251,alpacaeval-easy,eng_Latn,3.0,3.0,1.0,1.0
alpacaeval-easy::115,115,alpacaeval-easy,eng_Latn,3.6,3.6,1.0,1.0
alpacaeval-easy::243,243,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::249,249,alpacaeval-easy,eng_Latn,3.8,3.8,1.0,1.0
alpacaeval-easy::227,227,alpacaeval-easy,eng_Latn,0.8,0.8,1.0,1.0
alpacaeval-easy::103,103,alpacaeval-easy,eng_Latn,2.8,2.8,1.0,1.0
alpacaeval-easy::284,284,alpacaeval-easy,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-easy::470,470,alpacaeval-easy,eng_Latn,0.6,0.6000000000000001,1.0,1.0
alpacaeval-easy::158,158,alpacaeval-easy,eng_Latn,0.4,0.4,1.0,1.0
alpacaeval-easy::571,571,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::501,501,alpacaeval-easy,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-easy::519,519,alpacaeval-easy,eng_Latn,0.8,0.8,1.0,1.0
alpacaeval-easy::637,637,alpacaeval-easy,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-easy::578,578,alpacaeval-easy,eng_Latn,0.8,0.8000000000000002,1.0,1.0
alpacaeval-easy::49,49,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-easy::544,544,alpacaeval-easy,eng_Latn,1.4,1.4,1.0,1.0
alpacaeval-easy::701,701,alpacaeval-easy,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-easy::673,673,alpacaeval-easy,eng_Latn,0.0,3.3306690738754695e-17,0.0,1.0
alpacaeval-easy::671,671,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-easy::726,726,alpacaeval-easy,eng_Latn,0.2,0.20000000000000004,1.0,1.0
alpacaeval-easy::407,407,alpacaeval-easy,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-easy::148,148,alpacaeval-easy,eng_Latn,1.0,1.028536801359877,1.0,1.0
alpacaeval-easy::29,29,alpacaeval-easy,eng_Latn,1.4,1.4,1.0,1.0
alpacaeval-easy::322,322,alpacaeval-easy,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-hard::899,899,alpacaeval-hard,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-hard::1181,1181,alpacaeval-hard,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-hard::961,961,alpacaeval-hard,eng_Latn,2.0,2.0,1.0,1.0
alpacaeval-hard::1357,1357,alpacaeval-hard,eng_Latn,2.0,2.028536801359877,1.0,1.0
alpacaeval-hard::1150,1150,alpacaeval-hard,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-hard::1495,1495,alpacaeval-hard,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-hard::1239,1239,alpacaeval-hard,eng_Latn,1.6,1.6,1.0,1.0
alpacaeval-hard::1361,1361,alpacaeval-hard,eng_Latn,0.4,0.4000000000000001,1.0,1.0
alpacaeval-hard::933,933,alpacaeval-hard,eng_Latn,-0.4,-0.4,0.0,0.0
alpacaeval-hard::945,945,alpacaeval-hard,eng_Latn,0.4,0.4,1.0,1.0
alpacaeval-hard::1205,1205,alpacaeval-hard,eng_Latn,0.6,0.6000000000000001,1.0,1.0
alpacaeval-hard::1406,1406,alpacaeval-hard,eng_Latn,2.2,2.2,1.0,1.0
alpacaeval-hard::1160,1160,alpacaeval-hard,eng_Latn,-0.2,-0.1999999999999999,0.0,0.0
alpacaeval-hard::908,908,alpacaeval-hard,eng_Latn,0.6,0.6,1.0,1.0
alpacaeval-hard::1482,1482,alpacaeval-hard,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-hard::885,885,alpacaeval-hard,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-hard::911,911,alpacaeval-hard,eng_Latn,3.8,3.8,1.0,1.0
alpacaeval-hard::1091,1091,alpacaeval-hard,eng_Latn,3.0,3.0,1.0,1.0
alpacaeval-hard::882,882,alpacaeval-hard,eng_Latn,1.2,1.2,1.0,1.0
alpacaeval-hard::840,840,alpacaeval-hard,eng_Latn,1.0,1.0,1.0,1.0
alpacaeval-hard::1363,1363,alpacaeval-hard,eng_Latn,2.2,2.2,1.0,1.0
alpacaeval-hard::947,947,alpacaeval-hard,eng_Latn,2.8,2.8,1.0,1.0
alpacaeval-hard::1263,1263,alpacaeval-hard,eng_Latn,1.4,1.4000000000000001,1.0,1.0
alpacaeval-hard::926,926,alpacaeval-hard,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-hard::1010,1010,alpacaeval-hard,eng_Latn,1.4,1.4,1.0,1.0
alpacaeval-hard::907,907,alpacaeval-hard,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-hard::1367,1367,alpacaeval-hard,eng_Latn,1.4,1.4,1.0,1.0
alpacaeval-hard::861,861,alpacaeval-hard,eng_Latn,2.0,2.0,1.0,1.0
alpacaeval-hard::1036,1036,alpacaeval-hard,eng_Latn,2.0,2.0,1.0,1.0
alpacaeval-hard::981,981,alpacaeval-hard,eng_Latn,2.8,2.8,1.0,1.0
alpacaeval-hard::1355,1355,alpacaeval-hard,eng_Latn,2.0,2.0,1.0,1.0
alpacaeval-hard::1023,1023,alpacaeval-hard,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-hard::1480,1480,alpacaeval-hard,eng_Latn,-0.2,-0.19999999999999996,0.0,0.0
alpacaeval-hard::1047,1047,alpacaeval-hard,eng_Latn,2.0,2.0,1.0,1.0
alpacaeval-hard::1350,1350,alpacaeval-hard,eng_Latn,-0.4,-0.4,0.0,0.0
alpacaeval-hard::1374,1374,alpacaeval-hard,eng_Latn,3.2,3.2,1.0,1.0
alpacaeval-hard::1317,1317,alpacaeval-hard,eng_Latn,0.6,0.6000000000000001,1.0,1.0
alpacaeval-hard::974,974,alpacaeval-hard,eng_Latn,1.0,1.0000000000000002,1.0,1.0
alpacaeval-hard::838,838,alpacaeval-hard,eng_Latn,1.0,1.0,1.0,1.0
alpacaeval-hard::900,900,alpacaeval-hard,eng_Latn,1.8,1.8,1.0,1.0
alpacaeval-hard::984,984,alpacaeval-hard,eng_Latn,1.0,1.0,1.0,1.0
alpacaeval-hard::1102,1102,alpacaeval-hard,eng_Latn,1.2,1.2000000000000002,1.0,1.0
alpacaeval-hard::1252,1252,alpacaeval-hard,eng_Latn,2.4,2.4,1.0,1.0
alpacaeval-hard::1229,1229,alpacaeval-hard,eng_Latn,2.6,2.6,1.0,1.0
alpacaeval-hard::1337,1337,alpacaeval-hard,eng_Latn,1.4,1.4,1.0,1.0
alpacaeval-hard::1116,1116,alpacaeval-hard,eng_Latn,1.0,1.0000000000000002,1.0,1.0
alpacaeval-easy::401,401,alpacaeval-easy,hin_Deva,0.6,0.6000000000000001,1.0,1.0
alpacaeval-easy::29,29,alpacaeval-easy,hin_Deva,1.0,1.0,1.0,1.0
alpacaeval-easy::542,542,alpacaeval-easy,hin_Deva,3.6,3.6,1.0,1.0
alpacaeval-easy::740,740,alpacaeval-easy,hin_Deva,0.8,0.8,1.0,1.0
alpacaeval-easy::502,502,alpacaeval-easy,hin_Deva,0.0,4.4408920985006264e-17,0.0,1.0
alpacaeval-easy::764,764,alpacaeval-easy,hin_Deva,0.6,0.6000000000000001,1.0,1.0
